domain,aws_networks_size,aws_network_labels,domain_alexa_rank
eleconomista.com.mx,524481,"['EC2 (us-west-2)', 'EC2 (us-west-1)', 'EC2 (us-east-1)']",19348.0
elempresario.mx,524480,"['EC2 (us-west-1)', 'EC2 (us-east-1)']",356551.0
dynamic.ooo,197638,"['AMAZON (us-east-1)', 'EC2 (eu-west-3)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)']",234341.0
kfc.com.sg,148487,"['AMAZON (us-east-1)', 'EC2 (ap-southeast-1)', 'EC2 (us-east-1)']",292883.0
hawaii-arukikata.com,132096,"['AMAZON (us-east-1)', 'EC2 (ap-northeast-1)']",41560.0
telefilm.ca,131076,"['EC2 (sa-east-1)', 'EC2 (ca-central-1)', 'EC2 (us-east-1)']",330027.0
groupondev.com,131074,"['EC2 (eu-west-1)', 'EC2 (us-east-1)']",163954.0
rounds.com,131072,[],345183.0
ifgoiano.edu.br,131072,['EC2 (eu-central-1)'],128773.0
asklaila.com,126977,['EC2 (us-east-1)'],105012.0
queensland.com,66562,"['AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",182862.0
hunterindustries.com,65541,"['EC2 (us-west-2)', 'EC2 (eu-west-1)']",266575.0
brunico.com,65538,['EC2 (us-east-1)'],300965.0
morrissey-solo.com,65537,['EC2 (us-west-2)'],229911.0
world-nuclear.org,65536,['EC2 (us-east-1)'],74545.0
realscreen.com,65536,['EC2 (us-east-1)'],181180.0
animal-world.com,65536,['EC2 (us-east-1)'],273169.0
buyhatke.com,65536,['EC2 (ap-southeast-1)'],39507.0
proptiger.com,65536,['EC2 (ap-southeast-1)'],29502.0
manta.com,65536,['EC2 (us-east-1)'],8925.0
armscontrol.org,65536,['EC2 (us-east-1)'],742065.0
playbackonline.ca,65536,['EC2 (us-east-1)'],318331.0
viajobien.com.uy,65536,['EC2 (us-east-1)'],634486.0
registrocivil.org.br,65536,['EC2 (sa-east-1)'],370081.0
secretgardensthlm.se,65536,['EC2 (eu-west-1)'],204757.0
royalmail.com,33795,"['AMAZON (us-east-1)', 'EC2 (eu-west-1)', 'EC2 (eu-central-1)']",9726.0
ezanga.com,28672,['EC2 (us-east-1)'],83971.0
amazon.co.jp,20051,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'EC2 (ap-northeast-1)', 'AMAZON (us-west-2)']",47.0
nexteducation.in,19804,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)', 'EC2 (us-east-1)', 'EC2 (ap-southeast-1)']",538931.0
alexa.com,19801,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)', 'EC2 (us-east-1)', 'EC2 (us-west-1)']",5096.0
revistagalenus.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",396595.0
playtech.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",11353.0
sizmek.com,19799,"['AMAZON (us-east-1)', 'EC2 (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",130378.0
adevarul.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",5199.0
shape.com,19799,"['AMAZON (us-east-1)', 'EC2 (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",8764.0
and6.com,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",74762.0
historia.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",80182.0
retargeting.biz,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",353285.0
bigfish.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",706762.0
a1.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",19497.0
farmaciata.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",394784.0
salveazaoinima.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",396638.0
dehaine.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",272312.0
sensotv.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",228270.0
spy-shop.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",396721.0
eventim.ro,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",153713.0
eros.com,19799,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",14553.0
