domain,azure_networks_size,azure_network_labels,domain_alexa_rank
pico.com,327680,[],846370.0
globalenglish.com,65536,[],162102.0
asprs.org,65536,[],527470.0
palador.com,65536,['Azure '],605307.0
companycasuals.com,32772,['Azure '],302877.0
nti.nl,32772,['Azure '],402995.0
ncoi.nl,32772,['Azure '],480688.0
sanmar.com,32772,['Azure '],51652.0
whoi.edu,8192,[],31387.0
worldwidegolfshops.com,8192,[],107228.0
eriksbikeshop.com,8192,[],162707.0
royalmail.com,4096,['Azure '],9726.0
hr.nl,2076,"['Azure ', 'Azure AzureFrontDoor']",142331.0
rbkc.gov.uk,2062,"['Azure ', 'Azure AzureFrontDoor']",701389.0
facs.org,2059,"['Azure ', 'Azure AzureFrontDoor']",117232.0
flyfrontier.com,2055,"['Azure ', 'Azure AzureFrontDoor']",10690.0
brotherhoodmutual.com,2055,"['Azure ', 'Azure AzureFrontDoor']",300947.0
smu.edu.sg,2054,"['Azure ', 'Azure AzureFrontDoor']",46610.0
nuance.com,518,['Azure '],44066.0
jamk.fi,512,['Azure Dynamics365ForMarketingEmail'],990168.0
furla.com,512,['Azure Dynamics365ForMarketingEmail'],66587.0
dufry.com,512,['Azure Dynamics365ForMarketingEmail'],329516.0
cityexpress.com,512,"['Azure Dynamics365ForMarketingEmail', 'Azure ']",91831.0
washburn.edu,512,['Azure '],734770.0
vanderlande.com,261,"['Azure Dynamics365ForMarketingEmail', 'Azure ']",225605.0
fsbnh.bank,258,['Azure '],307366.0
lpga.com,256,[],13625.0
dekopasaj.com,256,[],126183.0
education.gov.uk,256,['Azure Dynamics365ForMarketingEmail'],420502.0
ses.com,256,['Azure Dynamics365ForMarketingEmail'],120433.0
inseego.com,256,"['Azure Dynamics365ForMarketingEmail', 'Azure ']",842767.0
baker.edu,256,['Azure '],289176.0
weboost.com,256,[],152233.0
swarovski-professional.com,256,['Azure Dynamics365ForMarketingEmail'],809455.0
brookings.edu,135,['Azure '],24230.0
bestlawyers.com,130,['Azure '],290747.0
jibunbank.co.jp,128,['Azure '],33545.0
fbmta.com,96,[],57151.0
webcollage.net,65,['Azure '],57531.0
travelodge.co.uk,48,['Azure '],25102.0
fxplus.ac.uk,46,['Azure '],507555.0
aircanada.ca,38,['Azure '],43770.0
lta.org.uk,33,['Azure '],61731.0
parliament.scot,33,['Azure '],556152.0
hobbs.co.uk,33,['Azure '],86576.0
appello.co.uk,33,['Azure '],466969.0
park.edu,33,['Azure '],82581.0
efl.com,33,['Azure '],854154.0
derby.ac.uk,33,['Azure '],45829.0
npl.co.uk,33,['Azure '],196364.0
ecotricity.co.uk,33,['Azure '],191751.0
educationdevelopmenttrust.com,33,['Azure '],536324.0
aylesburyvaledc.gov.uk,33,['Azure '],179163.0
caresoftglobal.com,33,['Azure '],535532.0
mmu.ac.uk,33,['Azure '],59737.0
gymshark.com,33,['Azure '],18890.0
lawsociety.org.uk,33,['Azure '],431328.0
bellenglish.com,33,['Azure '],686576.0
hollywoodbowl.co.uk,33,['Azure '],144712.0
ncsgrp.co.uk,33,['Azure '],603985.0
bmstores.co.uk,33,['Azure '],52687.0
pg.com,32,['Azure '],28605.0
kawaius.com,32,[],49440.0
ac-rouen.fr,32,['Azure '],32231.0
evansclarke.com.au,30,"['Azure AzureAppService', 'Azure ']",381897.0
clippers.com,24,['Azure '],141300.0
millenniumhotels.com,22,['Azure '],86068.0
redroof.com,22,['Azure '],163354.0
skyexpress.gr,21,['Azure '],174505.0
plan-uk.org,21,['Azure '],584750.0
hmhco.com,21,['Azure '],108405.0
corinthia.com,21,['Azure '],579883.0
infojobs.com.br,20,['Azure '],11793.0
rugbyrama.fr,20,"['Azure AzureAppService', 'Azure ']",36238.0
ladepeche.fr,20,"['Azure AzureAppService', 'Azure ']",11892.0
drafthouse.com,18,['Azure '],33372.0
wypinnbank.com,18,['Azure '],328166.0
forsakringskassan.se,18,['Azure '],27874.0
vapemate.co.uk,18,['Azure '],164897.0
miracosta.edu,18,[],107188.0
evergent.com,18,['Azure '],121892.0
moffettnathanson.com,18,['Azure '],244225.0
surfacemag.com,18,['Azure '],246856.0
icelolly.com,18,['Azure '],397047.0
streamcreative.com,18,['Azure '],566700.0
solarquotes.com.au,18,['Azure '],60214.0
freestar.io,18,['Azure '],174771.0
yoco.co.za,18,['Azure '],442949.0
thriftytours.co.nz,18,['Azure '],582790.0
ivvy.com.au,18,['Azure '],526427.0
berlinpackaging.com,18,['Azure '],124810.0
pinnbank.com,18,['Azure '],84312.0
rockspotclimbing.com,18,['Azure '],320285.0
tripster.com,18,['Azure '],109426.0
pinnbanktx.com,18,['Azure '],318217.0
propertybrokers.co.nz,18,['Azure '],526514.0
optimalblue.com,17,['Azure '],317132.0
microsoft.com,17,['Azure '],37.0
htallc.com,17,['Azure '],120111.0
westminster.gov.uk,17,"['Azure AzureAppService', 'Azure ']",277532.0
usn.co.za,17,['Azure '],490198.0
ofcom.org.uk,16,['Azure '],90899.0
applytracking.com,16,['Azure '],29681.0
nls.uk,16,[],227280.0
formsimplicity.com,16,[],79038.0
nrmp.org,16,[],163189.0
digiposte.fr,16,['Azure '],37644.0
merchantsfleet.com,16,['Azure '],805807.0
flinders.edu.au,16,[],62961.0
barry.edu,16,[],273907.0
installaware.com,16,['Azure '],712866.0
glendale.edu,16,[],69050.0
