includes_registered_domains,domain
outlook.com,606741
google.com,403872
mcsv.net,135641
websitewelcome.com,132545
ovh.com,83291
mandrillapp.com,83021
mailchannels.net,78685
sendgrid.net,72738
bluehost.com,70342
mailspamprotection.com,64839
secureserver.net,64247
mailgun.org,55670
registrar-servers.com,46569
amazonses.com,38489
emailsrvr.com,36655
zoho.com,35216
zendesk.com,33537
dreamhost.com,32146
mimecast.com,28926
mailjet.com,27138
aruba.it,25948
pardot.com,16286
googlemail.com,14984
antispamcloud.com,14762
salesforce.com,14254
gandi.net,13974
,12136
barracudanetworks.com,11842
pphosted.com,11781
hostinger.com,11387
infomaniak.ch,11130
messagelabs.com,10812
hostmonster.com,10098
sendinblue.com,10096
qq.com,10073
elasticemail.com,9884
web-hosting.com,9381
locaweb.com.br,9324
mtasv.net,8987
lolipop.jp,8850
sparkpostmail.com,8702
heteml.jp,8579
shopify.com,8348
arandomserver.com,8281
mktomail.com,8198
namebrightmail.com,8159
kundenserver.de,7922
webhostbox.net,7775
privateemail.com,7752
yandex.net,7707
perfora.net,7620
exclaimer.net,7598
messagingengine.com,7550
mxhichina.com,7302
gmoserver.jp,7221
constantcontact.com,6968
zcsend.net,6573
squarespace-mail.com,6567
reg.ru,6566
smtp2go.com,6334
bigcommerce.com,6214
hubspotemail.net,5930
hostedemail.com,5851
gridhost.co.uk,5817
emailsignatures365.com,5751
mlsend.com,5724
supercp.com,5660
secure.ne.jp,5597
host-h.net,5596
webapps.net,5551
cmail1.com,5505
helpscoutemail.com,5433
emsd1.com,5338
serviciodecorreo.es,5330
sureserver.com,5186
sendpulse.com,5044
unisender.com,4922
webempresa.eu,4812
flockmail.com,4699
protonmail.ch,4625
agenturserver.de,4492
ukraine.com.ua,4431
163.com,4429
justhost.com,4359
freshdesk.com,4294
superhosting.bg,4253
transip.email,4235
nl2go.com,4142
trendmicro.com,4012
hosts.co.uk,3960
authsmtp.com,3914
srv.cat,3890
zoho.eu,3876
linuxpl.com,3807
infusionmail.com,3762
stackmail.com,3743
smtp.com,3527
one.com,3526
natrohost.com,3519
mailanyone.net,3515
appriver.com,3515
kagoya.net,3484
name-services.com,3481
ispgateway.de,3467
intermedia.net,3390
register.com,3365
transmail.net,3345
verticalresponse.com,3268
crsend.com,3253
dynect.net,3245
trustpilotservice.com,3220
websupport.sk,3199
mailcluster.com.au,3181
jabatus.fr,3172
mijndomeinhosting.nl,3164
firebasemail.com,3153
w4ymail.at,3025
reflexion.net,2970
clickdimensions.com,2949
lcn.com,2925
syrahost.com,2842
hotmail.com,2839
dondominio.com,2780
carrierzone.com,2779
hostmar.com,2775
hostedmail.net.au,2768
domeneshop.no,2761
createsend.com,2759
serverdata.net,2707
servconfig.com,2662
tld.pl,2661
stspg-customer.com,2634
exacttarget.com,2632
blacknight.ie,2583
mxroute.com,2580
hostnet.nl,2536
yandex.ru,2535
sitesellmail.com,2527
seeweb.it,2468
autopilothq.com,2433
knowbe4.com,2428
a2hosting.com,2395
musvc.com,2394
fastmail.gr,2374
totaalholding.nl,2352
zenbox.pl,2344
mail.ru,2331
unoeuro.com,2296
kmitd.com,2194
icpbounce.com,2183
etius.jp,2145
bizmw.com,2121
hekko.pl,2117
zixsmbhosted.com,2114
e2ma.net,2093
worldsecuresystems.com,2062
kinghost.net,2058
web-dns1.com,1988
raiolanetworks.com,1946
netsuite.com,1942
mailcontrol.com,1922
whservidor.com,1903
mtsvc.net,1861
zone.eu,1856
glesys.se,1839
wildapricot.org,1816
ip-zone.com,1808
oderland.com,1791
simply.com,1784
mxlogin.com,1782
intercom.io,1775
gmail.com,1771
aweber.com,1758
zxcs.nl,1756
myconnectwise.net,1724
msgfocus.com,1717
mtaroutes.com,1708
webhosting.systems,1706
arubabusiness.it,1702
turbo-smtp.com,1665
shop-pro.jp,1649
braintreegateway.com,1644
wadax.ne.jp,1643
atlassian.net,1642
hoster.by,1622
customeriomail.com,1584
bandzoogle.com,1582
hostingplatform.net.au,1579
act-on.net,1576
qualtrics.com,1531
ppspf.net,1488
bmsend.com,1480
