domain_alexa_rank,domain,num_email_security_providers,email_security_providers
-,mqsadvisors.com,4,"ZixMail,Protonmail,fusemail,AppRiver"
-,primo.com.au,4,"Mimecast,Symantec,Mcafee,Proofpoint"
-,fera.co.uk,4,"Symantec,Protonmail,Forcepoint,fusemail"
110703.0,pivotal.io,4,"Mimecast,Cisco Ironport,Proofpoint,Symantec"
-,premiercu.org,4,"Mimecast,Fortinet,Cisco Ironport,Proofpoint"
-,pendletonplace.org,4,"ZixMail,Mimecast,Mcafee,AppRiver"
-,mysolutions.biz,4,"Can-It Pro,ZixMail,Reflexion,AppRiver"
-,tracintermodal.com,4,"ZixMail,Mimecast,BAE Systems,AppRiver"
220653.0,pallet-track.co.uk,4,"hornetsecurity,the email laundry,ZixMail,AppRiver"
-,castle-forbes.com,4,"hornetsecurity,the email laundry,ZixMail,AppRiver"
-,uspotatoes.com,4,"hornetsecurity,the email laundry,Reflexion,Barracuda"
105638.0,hbtbank.com,4,"ZixMail,Cisco Ironport,Proofpoint,AppRiver"
302625.0,cnbsomerset.com,4,"ZixMail,Proofpoint,Cisco Ironport,Forcepoint"
3738.0,spring.io,4,"Mimecast,Cisco Ironport,Proofpoint,Symantec"
-,pumpmanpittsburgh.com,4,"ZixMail,Barracuda,Proofpoint,AppRiver"
-,primosmallgoods.com.au,4,"Mimecast,Symantec,Mcafee,Proofpoint"
517156.0,springframework.org,4,"Mimecast,Cisco Ironport,Proofpoint,Symantec"
-,hans.com.au,4,"Mimecast,Symantec,Mcafee,Proofpoint"
-,surfaceprocessing.co.uk,4,"hornetsecurity,the email laundry,ZixMail,AppRiver"
-,reynoldsgroup.co.uk,4,"hornetsecurity,the email laundry,ZixMail,AppRiver"
-,nbg.co.uk,4,"hornetsecurity,the email laundry,ZixMail,AppRiver"
-,readonarizona.org,4,"ZixMail,the email laundry,hornetsecurity,Barracuda"
-,elizabetharden.com,4,"ZixMail,Mimecast,Symantec,AppRiver"
-,s3vc.com,4,"hornetsecurity,the email laundry,ZixMail,AppRiver"
-,jumpdesigngroup.com,4,"Protonmail,the email laundry,hornetsecurity,fusemail"
-,winslowtownship.com,4,"ZixMail,BAE Systems,Proofpoint,AppRiver"
-,zeitereye.com,4,"Protonmail,Proofpoint,fusemail,Barracuda"
-,ensolsystems.com,4,"ZixMail,Solarwinds,mailchannels,AppRiver"
-,mesadesigngroup.com,4,"ZixMail,hornetsecurity,the email laundry,AppRiver"
-,jbsswift.com.au,4,"Mimecast,Symantec,Mcafee,Proofpoint"
-,theforgeentertainment.co.uk,4,"hornetsecurity,the email laundry,ZixMail,AppRiver"
-,pipertrust.org,4,"ZixMail,the email laundry,hornetsecurity,Barracuda"
-,fluidicenergy.com,4,"ZixMail,Mcafee,Reflexion,AppRiver"
-,usplabsdirect.com,4,"hornetsecurity,the email laundry,ZixMail,AppRiver"
-,pagnatokarp.com,4,"ZixMail,BAE Systems,Mcafee,AppRiver"
-,atg-it.co.uk,5,"ZixMail,hornetsecurity,the email laundry,Reflexion,AppRiver"
