domain,email_security_providers,includes
hcahealthcare.com,-,"msgfocus.com,_spf.medicalgps.com,spf_amer.taleo.net,cust-spf.exacttarget.com,jangomail.com"
morganstanley.com,-,_spf.morganstanley.neolane.net
cvshealth.com,-,%{d}.4e.spf-protect.agari.com
directv.com,-,"spf-a.rnmk.com,spf-a.directv.com,spf-b.directv.com,spf-b.rnmk.com"
exxonmobil.com,-,-
pepsico.com,-,spf1.pepsico.com
aa.com,-,"spf.aa.com,spf.protection.outlook.com"
fanniemae.com,-,"fanniemae.com._nspf.vali.email,%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email"
verizon.com,-,"spf.ecrm.verizon.com,verizonwireless.com"
tsocorp.com,-,"spf1.andeavor.com,spf3.andeavor.com,spf.protection.outlook.com,spf2.andeavor.com"
bestbuy.com,-,"spf.power365.binarytree.com,spf.protection.outlook.com,_spf.q4press.com"
aig.com,-,"spf2.aig.com,spf4.aig.com,spf5.aig.com,spf1.aig.com,spf3.aig.com"
statefarm.com,-,-
unitedhealthgroup.com,-,"_spfv4.corpmailsvcs.com,res.cisco.com"
gm.com,-,"_spf-a.gm.com,_spf-b.gm.com"
massmutual.com,-,%{d}.22.spf-protect.agari.com
disney.com,-,spf.disney.com
nationwide.com,-,"spf.cashedge.com,spf.nitrosell.com"
microsoft.com,-,"_spf1-meo.microsoft.com,spf-a.hotmail.com,_spf-a.microsoft.com,_spf-c.microsoft.com,_spf-b.microsoft.com,_spf-ssg-a.microsoft.com"
google.com,-,_spf.google.com
lowes.com,-,"spf.protection.outlook.com,_spf.qualtrics.com,_spf-entelo.lowes.com,everbridge.net"
amazon.com,-,"amazonses.com,spf2.amazon.com,spf1.amazon.com"
conocophillips.com,-,spf.protection.outlook.com
intel.com,-,"_spf.intel.com,_spf.google.com"
oracle.com,-,"spf_c.oraclecloud.com,spf_r.oracle.com,spf_x.oracle.com,spf_s.oracle.com,spf_z.oracle.com,stspg-customer.com"
freddiemac.com,-,"freddiemac.com._nspf.vali.email,%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email"
newyorklife.com,-,"_spf.qualtrics.com,flowrocket.com,_netblocks.eloqua.com,sendgrid.net,spf.mandrillapp.com"
jpmorganchase.com,-,-
americanexpress.com,-,-
wfscorp.com,-,"sendgrid.net,spf.protection.outlook.com,_spf.salesforce.com,aspmx.pardot.com,app.sgizmo.com"
searsholdings.com,-,-
jnj.com,-,%{d}.ce.spf-protect.dmp.cisco.com
ingrammicro.com,-,"_spf2.ingrammicro.com,_spf3.ingrammicro.com,_spf.ingrammicro.com"
target.com,-,"spf.mandrillapp.com,servers.mcsv.net,spf.clearslide.com,everbridge.net"
dow.com,-,"_spf.google.com,_spf.salesforce.com,spf.protection.outlook.com"
prudential.com,-,"spfhost.messageprovider.com,spf.protection.outlook.com"
3m.com,-,%{d}.cd.spf-protect.dmp.cisco.com
merck.com,-,"spf1.mailgun.org,amazonses.com,cmail1.com,res.cisco.com,spf2.mailgun.org"
honeywell.com,-,"spf.protection.outlook.com,_spf1.honeywell.com,_spf.salesforce.com,mktomail.com,_spf3.honeywell.com,spf.mailjet.com,_spf2.honeywell.com"
johnsoncontrols.com,-,"_spf.qualtrics.com,u419116.wl117.sendgrid.net"
walmart.com,-,"_vspf2.walmart.com,_netblocks.walmart.com,_vspf3.walmart.com,_smartcomm.walmart.com,_vspf1.walmart.com"
metlife.com,-,_spf.metlife.com
express-scripts.com,-,-
chevron.com,-,-
libertymutual.com,-,spf.lmig.com
apple.com,-,"_spf.apple.com,_spf-txn.apple.com"
adm.com,-,"spfsub1.adm.com,aspmx.pardot.com,spfsub2.adm.com"
energytransfer.com,Cisco Ironport,spf.protection.outlook.com
cardinal.com,Cisco Ironport,_spf.cardinalhealth.com
aetna.com,Mimecast,"_spf.aetna.com,spf.constantcontact.com,_spf2.aetna.com,_spf.salesforce.com"
hp.com,Mimecast,"spf.protection.outlook.com,_spf.hp.com,_spf.salesforce.com,standardregisterSPF.smtp.com,us._netblocks.mimecast.com"
intlfcstone.com,"Mimecast,Proofpoint","mail.zendesk.com,eu._netblocks.mimecast.com,spf.protection.outlook.com,spf-003e4a01.pphosted.com,us._netblocks.mimecast.com,aspmx.pardot.com,sendgrid.net,spf1.intlfcstone.com"
