domain,aws_networks_size,aws_network_labels,includes
amazon.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']","['amazonses.com', 'spf2.amazon.com', 'spf1.amazon.com']"
wesco.com,1926,"['EC2 (us-west-2)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']","['quickbase.com', 'act-on.net', 'spf.protection.outlook.com', '594404.spf05.hubspotemail.net']"
acuitybrands.com,1925,['EC2 (us-east-1)'],"['2327376.spf05.hubspotemail.net', 'mail.zendesk.com', 'et._spf.pardot.com', 'spf.protection.outlook.com', 'email.prnewswire.com']"
lansingtradegroup.com,1924,['EC2 (us-east-1)'],['spf1.lansingtradegroup.com']
anixter.com,1924,['EC2 (us-east-1)'],"['spf_c.oraclecloud.com', 'spf.protection.outlook.com', 'mktomail.com', 'spf.mandrillapp.com', '410209.spf07.hubspotemail.net']"
ametek.com,1536,"['AMAZON (us-east-1)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']","['spf4.ametek.com', 'et._spf.pardot.com', 'spf3.ametek.com', 'spf1.ametek.com', 'spf2.ametek.com']"
bms.com,1082,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)', 'EC2 (ap-southeast-1)']","['spf.axalone.com', 'spf.protection.outlook.com', 'ip4.bms.com', 'spf1.satmetrix.com', '_prolifiq.bms.com', 'ironport.bms.com', 'spf.workfront.com']"
mt.com,1066,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-gov-west-1)', 'EC2 (us-east-1)', 'EC2 (ap-southeast-1)', 'EC2 (ap-northeast-1)', 'EC2 (eu-west-1)']","['_spf2.mt.com', '_spf1.mt.com', '_spf.qualtrics.com', 'spf1.satmetrix.com', 'spf.avature.net', 'usa.mt.com', '_spf3.mt.com']"
american-equity.com,1062,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)']","['spf.protection.outlook.com', 'secmail.ultipro.ca', 'jangomail.com', 'spf.workfront.com', '_spf.brainier.com', 's76685677.fdmarc.net', 'spf.salesforce.com']"
cmsenergy.com,1056,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)']","['spf.protection.outlook.com', 'spfc.cmsenergy.com', 'spfb.cmsenergy.com', 'spfext.zapproved.com', 'spfa.cmsenergy.com', 'spfd.cmsenergy.com', 'spf1.successfactors.com', 'spf.workfront.com']"
hologic.com,1055,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']","['spf.predictiveresponse.net', 'et._spf.pardot.com', 'spf.protection.outlook.com']"
essendant.com,1051,"['AMAZON (us-east-1)', 'EC2 (ap-southeast-1)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']","['2768210.spf03.hubspotemail.net', 'spf.protection.outlook.com', 'spf-00003a01.pphosted.com', 'myezemail.net', 'spf1.satmetrix.com']"
