email_provider_from_mailserver,count
Proofpoint,41735
Mimecast,36055
Barracuda,22885
Symantec,13813
Solarwinds,11973
AppRiver,11143
Protonmail,8156
Cisco Ironport,7124
Trend Micro,7047
CSC Digital Brand Services,5074
Forcepoint,3924
Reflexion,3670
hornetsecurity,3544
SpamHero,2683
Sophos,2199
Cyren,1943
Edgewave,1935
Mail in Black,1907
vadesecure,1685
Postini,1659
Securence.com,1620
fusemail,1530
Mailprotector,1326
the email laundry,1275
SecureMX,1247
MXGuarddog,1114
FireEye,981
DuoCircle,973
Mcafee,971
SpamTitan,837
BAE Systems,814
Fortinet,770
Microsoft Frontbridge,748
Retarus,679
EdgeWave,524
Sonic Wall,495
AVG,403
MX Relay,349
Panda Security,340
Manage Protect,278
Censornet,245
Exchange Defender,231
Trustwave,228
Can-It Pro,210
mailchannels,192
Sendio,147
Area1,135
Symantec,57
iBarracuda,54
Activegate SS,37
Kaspersky,30
ZixMail,25
Clearswift,4
Watchguard,2
