mailserver_registered_domain,count
google.com,1031219
outlook.com,530855
googlemail.com,511455
secureserver.net,320525
ovh.net,102265
mailspamprotection.com,65745
yandex.net,51512
emailsrvr.com,47438
registrar-servers.com,46698
dreamhost.com,45791
hostedemail.com,44348
zoho.com,43139
one.com,40254
rzone.de,39043
kundenserver.de,37358
1and1.com,36508
mimecast.com,34437
kasserver.com,31529
lolipop.jp,30958
qq.com,27595
gandi.net,27548
h-email.net,27225
barracudanetworks.com,22832
pphosted.com,22741
ispgateway.de,22638
netsolmail.net,21465
ppe-hosted.com,19000
1and1.co.uk,18855
123-reg.co.uk,18309
pickelhost.com,17676
1and1.fr,17399
hostedmxserver.com,16665
above.com,15726
yandex.ru,15722
yahoodns.net,15386
web-hosting.com,15325
messagelabs.com,13813
mailgun.org,12822
jimdo.com,11692
amazonaws.com,11660
spamexperts.com,11415
infomaniak.ch,11170
1and1.es,11081
arsmtp.com,10982
spamexperts.eu,10807
spamexperts.net,10803
beget.com,10579
messagingengine.com,10330
schlund.de,9835
locaweb.com.br,9415
mb1p.com,9349
m2bp.com,9301
mail.ru,8821
ukraine.com.ua,8665
namebrightmail.com,8597
privateemail.com,8553
mxhichina.com,8411
serverdata.net,8235
pair.com,8091
gridhost.co.uk,7908
timeweb.ru,7628
in-mx.com,7549
in-mx.net,7549
loopia.se,7514
wordpress.com,7370
register.it,7293
secure.ne.jp,7130
iphmx.com,7124
carrierzone.com,7012
mailhostbox.com,6992
stackmail.com,6963
reg.ru,6673
b-io.co,6474
udag.de,6346
hosts.co.uk,6223
serviciodecorreo.es,5892
gmoserver.jp,5680
agenturserver.de,5675
ionos.com,5392
nicmail.ru,5196
heteml.jp,5159
cscdns.net,5074
filterantispam.com,4903
webfaction.com,4874
hostinger.com,4768
unoeuro.com,4752
protonmail.ch,4565
zohomail.com,4454
hotmail.com,4435
mailprotect.be,4326
trendmicro.com,4285
hostpoint.ch,4280
ionos.de,3999
zoho.eu,3996
mailcontrol.com,3924
register.com,3787
securemail.pro,3727
registeredsite.com,3707
reflexion.net,3670
mailanyone.net,3591
netease.com,3586
improvmx.com,3517
seeweb.it,3411
cafe24.com,3379
163.com,3373
everyone.net,3301
spaceweb.ru,3270
hostinger.in,3188
mtaroutes.com,3178
beget.ru,3135
ionos.co.uk,3128
natrohost.com,3097
transip.email,3079
sakura.ne.jp,3067
lcn.com,2936
kagoya.net,2929
mijndomein.nl,2897
trendmicro.eu,2764
domeneshop.no,2753
online.net,2750
mxroute.com,2744
masterhost.ru,2731
wedos.net,2728
megamailservers.com,2677
hetemail.jp,2655
mailerhost.net,2566
fcomet.com,2485
serveriai.lt,2481
ionos.fr,2426
hostnet.nl,2421
blacknight.com,2398
myregisteredsite.com,2340
krystal.co.uk,2308
zenbox.pl,2289
doteasy.com,2276
easydns.com,2263
simply.com,2238
sophos.com,2199
ocn.ad.jp,2167
sitebuildit.com,2114
antispameurope.com,2111
megamailservers.eu,2081
netnames.net,2045
nominalia.com,2025
home.pl,2010
ionos.es,1991
uhserver.com,1966
spamh.com,1944
ctmail.com,1943
rcimx.net,1935
active24.com,1924
mailinblack.com,1907
kinghost.net,1892
ns36.de,1872
hope-mail.com,1864
netcup.net,1851
forpsi.com,1811
easyname.eu,1792
glesys.se,1782
firstfind.nl,1767
hoster.by,1753
mirohost.net,1750
daemonmail.net,1747
daum.net,1742
happyisp.com,1734
arubabusiness.it,1727
cloudhosting.co.uk,1719
email-cluster.com,1687
vadesecure.com,1685
wadax.ne.jp,1683
webmo.fr,1676
psmtp.com,1659
mxthunder.com,1626
newtekwebhosting.com,1621
securence.com,1620
bigcommerce.com,1606
mxthunder.net,1584
whmpanels.com,1584
name.com,1568
secure-mailgate.com,1565
supremebox.com,1557
blackhole.mx,1554
mxlogin.com,1554
dondominio.com,1541
fusemail.net,1530
goneo.de,1520
staysecuregroup.com,1514
mimecast.co.za,1507
staysecuregroup.net,1476
mailguard.com.au,1465
goserver.host,1465
oderland.com,1458
shop-pro.jp,1457
t-online.de,1442
buzondecorreo.com,1424
mailcluster.com.au,1423
zone.eu,1409
porkbun.com,1366
migadu.com,1355
emailowl.com,1351
mydevil.net,1351
hostinger.com.br,1339
internetmailserver.net,1330
emailservice.io,1326
volusion.com,1320
netregistry.net,1317
tigertech.net,1310
tmdhosting.com,1309
mailbox.org,1286
theemaillaundry.net,1275
aftermarket.pl,1269
gigahost.dk,1260
efty.com,1256
securemx.jp,1247
aliyun.com,1232
iomartmail.com,1220
fsdata.se,1220
uberspace.de,1203
alpha-prm.jp,1201
transip.nl,1199
dpoczta.pl,1190
idp365.net,1178
dandomain.dk,1172
34sp.com,1163
expurgate.net,1155
1gb.ru,1144
worksmobile.com,1143
orange-business.com,1139
hosts.net.nz,1138
site4now.net,1117
