maxmind_asnames,domain
MICROSOFT-CORP-MSN-AS-BLOCK,47553
THEROCKETSCIENCEGROUP,29886
AMAZON-02,27105
SENDGRID,17414
STEADFAST,14990
OVH SAS,13133
Hetzner Online GmbH,12634
AMAZON-AES,11822
UNIFIEDLAYER-AS-1,7670
RACKSPACE,7082
Mailjet SAS,6419
SOFTLAYER,6184
Host Europe GmbH,5138
RMH-14,4891
GOOGLE,4247
Rackspace Ltd.,4020
DIGITALOCEAN-ASN,3712
AS-26496-GO-DADDY-COM-LLC,3705
British Telecommunications PLC,3570
QUALTRICS-01,3259
IWEB-AS,3258
Amazon Data Services Ireland Ltd,3230
SERVERCENTRAL,3137
"Domain names registrar REG.RU, Ltd",2959
OMNITURE,2868
SINGLEHOP-LLC,2853
"Telia Lietuva, AB",2783
MARKETO,2750
CENTURYLINK-LEGACY-SAVVIS,2699
SIA Tet,2697
LVLT-3549,2675
Miran Ltd.,2636
LIQUIDWEB,2605
HURRICANE,2406
OOO Network of data-centers Selectel,2391
TimeWeb Ltd.,2372
COGENT-174,2113
China Education and Research Network Center,2079
"Linode, LLC",2069
Contabo GmbH,1946
China Telecom (Group),1899
PROOFPOINT-ASN-US-WEST,1875
Sendinblue SAS,1853
LeaseWeb Netherlands B.V.,1822
PROOFPOINT-ASN-US-EAST,1800
ATT-INTERNET4,1664
EXACT-7,1656
Shenzhen Tencent Computer Systems Company Limited,1617
SAILTHRU-01,1599
UUNET,1596
