maxmind_asnames,domain
MICROSOFT-CORP-MSN-AS-BLOCK,631900
AMAZON-02,220266
THEROCKETSCIENCEGROUP,213433
UNIFIEDLAYER-AS-1,162709
OVH SAS,108710
SENDGRID,107249
Mailjet SAS,99005
STEADFAST,96019
Host Europe GmbH,94483
Hetzner Online GmbH,80635
AMAZON-AES,79648
Amazon Data Services Ireland Ltd,72553
QUALTRICS-01,72502
AS-26496-GO-DADDY-COM-LLC,72012
RACKSPACE,67142
SOFTLAYER,60611
BIZLAND-SD,51745
LIQUIDWEB,33376
SINGLEHOP-LLC,33133
GOOGLE,31678
Aruba S.p.A.,30194
GOOGLE-2,29101
"INTERNET CZ, a.s.",27951
RMH-14,24910
DIGITALOCEAN-ASN,24880
NAMECHEAP-NET,24088
SERVERCENTRAL,23859
British Telecommunications PLC,22749
Rackspace Ltd.,20351
IWEB-AS,20225
"Linode, LLC",19329
SAKURA Internet Inc.,17922
LVLT-3549,17305
CENTURYLINK-LEGACY-SAVVIS,16703
COMCAST-7922,16504
1&1 Ionos Se,16263
Hostinger International Limited,15720
ASN-VINS,15483
China Education and Research Network Center,14654
HURRICANE,14513
A2HOSTING,14456
COGECO-PEER1,14425
COGENT-174,13657
LeaseWeb Netherlands B.V.,13522
LEASEWEB-USA-WDC,13476
Online S.a.s.,13461
OMNITURE,13330
MARKETO,13002
"GMO Internet,Inc",12915
Telia Company AB,12606
