ips,domain
104.47.0.0/17,46100
40.107.0.0/16,46080
52.100.0.0/14,46073
40.92.0.0/15,46057
205.201.128.0/20,19339
198.2.128.0/18,19337
148.105.8.0/21,18969
205.201.136.0/23,14199
205.201.139.0/24,14198
205.201.134.128/25,14198
198.2.132.0/22,14198
198.2.177.0/24,14196
198.2.186.0/23,14196
198.2.136.0/23,14195
198.2.180.0/24,14193
205.201.131.128/25,14186
198.2.128.0/24,14186
198.2.178.0/24,14150
198.2.179.0/24,14149
167.89.0.0/17,12843
50.31.32.0/19,12828
168.245.0.0/17,12824
198.21.0.0/21,12802
198.37.144.0/20,12801
208.117.48.0/20,12798
192.254.112.0/20,12796
149.72.0.0/16,12761
54.240.0.0/18,11312
199.127.232.0/22,11292
199.255.192.0/22,11289
69.169.224.0/20,11145
23.249.208.0/20,11076
23.251.224.0/19,11066
76.223.176.0/20,11062
192.161.144.0/20,9835
185.12.80.0/22,9830
188.172.128.0/20,9830
216.198.0.0/18,9826
87.253.232.0/21,6369
185.189.236.0/22,6363
185.211.120.0/22,6357
185.250.236.0/22,6349
216.71.96.0/22,6348
162.247.216.0/22,3250
139.60.152.0/22,3162
54.186.193.102/32,3155
52.222.75.85/32,3133
52.222.62.51/32,3132
52.222.73.83/32,3132
52.222.73.120/32,3132
