includes_registered_domains,domain
outlook.com,409
pphosted.com,210
salesforce.com,93
mimecast.com,70
pardot.com,56
sendgrid.net,54
messagelabs.com,53
mcsv.net,51
q4press.com,48
mandrillapp.com,43
mktomail.com,40
google.com,39
amazonses.com,34
qualtrics.com,30
zendesk.com,26
mailgun.org,25
exacttarget.com,25
vali.email,16
constantcontact.com,15
eloqua.com,11
everbridge.net,11
agari.com,11
cisco.com,11
knowbe4.com,10
boardbooks.com,10
hubspotemail.net,10
workfront.com,9
clickdimensions.com,9
service-now.com,9
sharepointonline.com,9
successfactors.com,9
zapproved.com,9
smtp2go.com,8
exclaimer.net,8
oraclecloud.com,8
messageprovider.com,8
adp.com,8
mailjet.com,7
act-on.net,6
e2ma.net,6
cvent-planner.com,6
binarytree.com,6
dynect.net,6
cmail1.com,6
stspg-customer.com,6
acquia.com,5
smtp.com,5
createsend.com,5
microsoft.com,5
clearslide.com,5
