includes_registered_domains,domain
outlook.com,606741
google.com,403872
mcsv.net,135641
websitewelcome.com,132545
ovh.com,83291
mandrillapp.com,83021
mailchannels.net,78685
sendgrid.net,72738
bluehost.com,70342
mailspamprotection.com,64839
secureserver.net,64247
mailgun.org,55670
registrar-servers.com,46569
amazonses.com,38489
emailsrvr.com,36655
zoho.com,35216
zendesk.com,33537
dreamhost.com,32146
mimecast.com,28926
mailjet.com,27138
aruba.it,25948
pardot.com,16286
googlemail.com,14984
antispamcloud.com,14762
salesforce.com,14254
gandi.net,13974
,12136
barracudanetworks.com,11842
pphosted.com,11781
hostinger.com,11387
infomaniak.ch,11130
messagelabs.com,10812
hostmonster.com,10098
sendinblue.com,10096
qq.com,10073
elasticemail.com,9884
web-hosting.com,9381
locaweb.com.br,9324
mtasv.net,8987
lolipop.jp,8850
sparkpostmail.com,8702
heteml.jp,8579
shopify.com,8348
arandomserver.com,8281
mktomail.com,8198
namebrightmail.com,8159
kundenserver.de,7922
webhostbox.net,7775
privateemail.com,7752
yandex.net,7707
