includes,domain
_spf.google.com,48341
spf.protection.outlook.com,43536
servers.mcsv.net,18190
spf.mandrillapp.com,13664
sendgrid.net,10523
amazonses.com,9739
mailgun.org,9028
mail.zendesk.com,8910
websitewelcome.com,5268
zoho.com,4607
spf.mailjet.com,3742
_spf.yandex.net,3716
relay.mailchannels.net,3581
_spf.salesforce.com,3557
_spf.mailspamprotection.com,2868
secureserver.net,2826
mx.ovh.com,2719
spf.unisender.com,2541
aspmx.pardot.com,2531
bluehost.com,2408
mktomail.com,2269
spf.efwd.registrar-servers.com,2203
_spf.elasticemail.com,2087
emailsrvr.com,2067
spf.sendinblue.com,1717
spf.mtasv.net,1706
spf.messagelabs.com,1604
aspmx.googlemail.com,1602
_netblocks.mimecast.com,1563
mxsspf.sendpulse.com,1548
helpscoutemail.com,1536
spf.mail.qq.com,1514
sparkpostmail.com,1488
_spf.hosting.reg.ru,1387
shops.shopify.com,1191
netblocks.dreamhost.com,1159
us._netblocks.mimecast.com,1142
_spf.yandex.ru,1019
_spf.mail.ru,1014
_spf.mlsend.com,998
emsd1.com,980
email.freshdesk.com,966
stspg-customer.com,957
mxsmtp.sendpulse.com,839
spf.dynect.net,837
trustpilotservice.com,830
_spf.ukraine.com.ua,803
spf.mx.hostinger.com,743
spf.ess.barracudanetworks.com,727
zcsend.net,695
