includes,domain
spf.protection.outlook.com,405
_spf.salesforce.com,88
servers.mcsv.net,51
spf.messagelabs.com,51
sendgrid.net,49
spf.mandrillapp.com,43
_spf.q4press.com,42
mktomail.com,40
aspmx.pardot.com,39
us._netblocks.mimecast.com,38
_spf.google.com,37
amazonses.com,34
_spf.qualtrics.com,30
_netblocks.mimecast.com,29
mail.zendesk.com,26
cust-spf.exacttarget.com,25
mailgun.org,21
%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email,16
et._spf.pardot.com,15
spf.constantcontact.com,13
everbridge.net,11
_netblocks.eloqua.com,11
spf.boardbooks.com,10
spf.workfront.com,9
service-now.com,9
customers.clickdimensions.com,9
spfext.zapproved.com,9
sharepointonline.com,9
spf_c.oraclecloud.com,8
spf.smtp2go.com,8
spfhost.messageprovider.com,8
spf.exclaimer.net,8
spf.mailjet.com,7
e2ma.net,6
es._spf.adp.com,6
stspg-customer.com,6
spf.dynect.net,6
spf.power365.binarytree.com,6
_phishspf.knowbe4.com,6
cvent-planner.com,6
cmail1.com,6
successfactors.com,6
_spf.atoracle.com,5
_spf.acquia.com,5
res.cisco.com,5
_spf.createsend.com,5
spf.clearslide.com,5
_spf.act-on.net,5
q4press.com,5
_spf.fireeyecloud.com,5
