includes,domain
spf.protection.outlook.com,598421
_spf.google.com,400596
servers.mcsv.net,135237
websitewelcome.com,131669
mx.ovh.com,83259
spf.mandrillapp.com,82680
bluehost.com,70237
sendgrid.net,69512
_spf.mailspamprotection.com,64623
relay.mailchannels.net,63293
secureserver.net,59171
mailgun.org,52468
spf.efwd.registrar-servers.com,46371
amazonses.com,38322
emailsrvr.com,36570
zoho.com,35077
mail.zendesk.com,32160
netblocks.dreamhost.com,32027
spf.mailjet.com,27051
aruba.it,19243
spf1.mailchannels.net,15324
spf2.mailchannels.net,15137
aspmx.pardot.com,14851
aspmx.googlemail.com,14658
spf.antispamcloud.com,14625
_netblocks.mimecast.com,14168
_mailcust.gandi.net,13127
_spf.salesforce.com,13072
spf.mx.hostinger.com,11384
spf.infomaniak.ch,11105
spf.ess.barracudanetworks.com,10553
spf.messagelabs.com,10325
hostmonster.com,10092
spf.mail.qq.com,10054
spf.sendinblue.com,10046
_spf.elasticemail.com,9770
_spf.locaweb.com.br,9292
spf.web-hosting.com,9023
spf.mtasv.net,8924
_spf.lolipop.jp,8691
_spf.heteml.jp,8563
us._netblocks.mimecast.com,8497
sparkpostmail.com,8301
_spf.arandomserver.com,8276
mktomail.com,8189
namebrightmail.com,8157
outlook.com,8023
shops.shopify.com,7897
_spf.kundenserver.de,7775
webhostbox.net,7737
