index,mailserver_registered_domain
google.com,4018222
googlemail.com,1245901
secureserver.net,638784
outlook.com,539918
ovh.net,256850
registrar-servers.com,246956
mailspamprotection.com,197132
one.com,119823
zoho.com,108058
emailsrvr.com,94131
dreamhost.com,91493
kundenserver.de,74527
1and1.com,72842
gandi.net,54780
yandex.net,52708
qq.com,51060
web-hosting.com,45558
hostedemail.com,45051
rzone.de,39050
1and1.co.uk,37588
123-reg.co.uk,36430
locaweb.com.br,35069
1and1.fr,34741
kasserver.com,31575
lolipop.jp,30989
h-email.net,27244
mailgun.org,25524
carrierzone.com,24656
jimdo.com,23383
,23090
ispgateway.de,22824
agenturserver.de,22168
1and1.es,22123
netsolmail.net,21532
beget.com,21182
mailhostbox.com,20690
messagingengine.com,20678
secure.ne.jp,19924
schlund.de,19635
pickelhost.com,17690
ukraine.com.ua,17296
privateemail.com,17099
namebrightmail.com,16885
hostedmxserver.com,16722
mxhichina.com,16562
yandex.ru,16371
serverdata.net,16114
yahoodns.net,15868
above.com,15726
nicmail.ru,15490
timeweb.ru,15211
webfaction.com,14541
hosts.co.uk,14415
loopia.se,13632
udag.de,12696
reg.ru,12607
mtaroutes.com,12486
amazonaws.com,11987
zoho.eu,11642
infomaniak.ch,11211
spamexperts.eu,10827
spamexperts.net,10812
ionos.com,10755
filterantispam.com,9785
mb1p.com,9363
m2bp.com,9319
mail.ru,8986
name.com,8781
zohomail.com,8705
hostpoint.ch,8542
mailprotect.be,8539
pair.com,8113
ionos.de,7976
megamailservers.com,7957
gridhost.co.uk,7944
in-mx.net,7551
in-mx.com,7551
hostinger.com,7441
wordpress.com,7407
register.it,7301
netease.com,7171
improvmx.com,7045
stackmail.com,6972
heteml.jp,6698
spaceweb.ru,6510
b-io.co,6487
megamailservers.eu,6433
wedos.net,6429
beget.ru,6301
ionos.co.uk,6238
natrohost.com,6207
zenbox.pl,6206
seeweb.it,6121
iomartmail.com,6068
serviciodecorreo.es,5898
spamh.com,5823
mijndomein.nl,5797
gmoserver.jp,5692
mxroute.com,5523
oderland.com,5504
hostinger.in,5497
online.net,5488
email-cluster.com,5040
ionos.fr,4850
unoeuro.com,4754
whmpanels.com,4740
krystal.co.uk,4605
hotmail.com,4553
webmo.fr,4533
lcn.com,4516
mailguard.com.au,4381
ocn.ad.jp,4323
securemail.pro,4206
register.com,4200
doteasy.com,4115
netnames.net,4069
emailowl.com,4034
ionos.es,3973
everyone.net,3955
tigertech.net,3861
mailbox.org,3822
active24.com,3786
kinghost.net,3780
163.com,3756
alpha-mail.net,3735
registeredsite.com,3717
vevida.com,3601
gigahost.dk,3593
serveriai.lt,3584
easyname.eu,3578
glesys.se,3556
daemonmail.net,3487
daum.net,3485
cloudhosting.co.uk,3417
cafe24.com,3415
aams4.jp,3256
zoho.in,3179
mediacenter.hu,3144
secure-mailgate.com,3122
supremebox.com,3107
sakura.ne.jp,3098
transip.email,3084
mxlogin.com,3078
domeneshop.no,3053
goneo.de,3036
zerospam.ca,3007
kagoya.net,2967
t-online.de,2881
goserver.host,2854
mailcluster.com.au,2843
zone.eu,2804
aliyun.com,2751
masterhost.ru,2749
porkbun.com,2729
webhost.co.nz,2722
migadu.com,2702
hetemail.jp,2655
freehost.com.ua,2637
netregistry.net,2629
volusion.com,2626
tmdhosting.com,2606
mailerhost.net,2570
blacknight.com,2542
fcomet.com,2491
hostnet.nl,2468
myregisteredsite.com,2446
easydns.com,2382
dpoczta.pl,2376
34sp.com,2340
spamservice.nl,2264
worksmobile.com,2245
simply.com,2239
forwardemail.net,2224
mirus.io,2206
uni5.net,2200
routing.net,2155
concentric.com,2134
sitebuildit.com,2125
cloudplatform1.com,2108
freeola.com,2080
forwardmx.io,2060
bravehost.com,2052
reg365.net,2044
argewebhosting.nl,2033
nominalia.com,2026
home.pl,2012
cleanmx.pt,1990
uhserver.com,1978
mycloudmailbox.com,1960
xs4all.nl,1953
webreus.nl,1945
mx-wecloud.net,1942
1gb.ru,1927
firstfind.nl,1916
myonlinestore.com,1908
dandomain.dk,1886
263.net,1876
hostinger.com.br,1875
ns36.de,1872
hope-mail.com,1865
netcup.net,1854
onlinemail.io,1847
